Timestep;Food;Prey;Prey2;Predators
0;45;19;13;3
1;46;21;13;3
2;46;23;13;3
3;47;25;13;3
4;48;28;14;3
5;48;30;13;3
6;48;32;14;3
7;48;32;14;3
8;48;32;14;3
9;49;33;14;3
10;50;34;16;3
11;50;34;16;3
12;51;35;17;3
13;52;39;20;3
14;52;42;21;3
15;52;48;23;3
16;53;53;24;3
17;53;54;25;3
18;53;55;24;3
19;53;59;24;3
20;53;61;24;3
21;53;67;24;3
22;53;74;25;3
23;53;77;27;3
24;53;85;28;3
25;53;89;28;3
26;53;97;28;3
27;53;100;29;3
28;53;106;29;3
29;53;108;30;3
30;53;110;33;3
31;53;115;32;3
32;53;119;33;3
33;53;127;33;3
34;53;133;35;3
35;54;139;35;3
36;54;146;36;3
37;54;150;36;3
38;54;155;36;3
39;55;159;36;3
40;55;160;36;3
41;55;167;36;3
42;55;172;36;3
43;55;178;37;3
44;55;183;38;3
45;56;187;39;3
46;56;189;40;3
47;56;198;41;3
48;56;202;42;3
49;57;206;42;3
50;57;217;43;3
51;57;224;45;3
52;57;237;46;3
53;57;255;46;3
54;57;269;46;3
55;57;282;48;3
56;57;292;47;3
57;57;311;47;4
58;58;332;48;4
59;58;348;47;4
60;58;361;50;4
61;58;380;50;5
62;58;402;52;5
63;58;421;52;5
64;58;436;52;5
65;58;444;52;6
66;59;459;52;6
67;59;470;52;6
68;59;485;52;6
69;59;501;52;6
70;60;518;52;7
71;60;536;52;7
72;60;556;52;7
73;60;572;51;7
74;60;595;50;7
75;60;610;50;7
76;61;636;50;7
77;61;647;49;8
78;61;667;49;8
79;61;686;49;8
80;61;694;49;10
81;61;712;49;10
82;61;727;49;11
83;62;741;46;11
84;62;756;47;11
85;62;765;46;11
86;62;783;46;12
87;62;798;46;12
88;63;807;47;13
89;63;828;47;15
90;63;844;47;16
91;63;852;46;17
92;64;865;45;21
93;65;874;44;21
94;65;878;43;21
95;66;888;43;22
96;67;898;43;22
97;68;908;41;24
98;69;915;40;27
99;69;908;39;27
100;69;906;38;29
101;70;898;38;31
102;70;901;37;34
103;70;892;36;34
104;71;884;34;35
105;71;882;31;35
106;72;878;28;36
107;72;876;27;39
108;72;869;27;41
109;72;869;27;45
110;72;863;27;47
111;72;840;25;52
112;72;826;24;53
113;72;816;22;57
114;72;802;23;59
115;72;769;23;60
116;73;747;23;60
117;73;729;22;62
118;73;703;19;66
119;73;669;17;68
120;73;637;15;75
121;74;601;14;78
122;74;563;13;81
123;75;524;12;86
124;75;483;11;90
125;75;443;10;92
126;75;410;8;94
127;75;374;7;95
128;75;335;7;98
129;75;294;4;101
130;75;258;3;106
131;76;231;3;111
132;77;201;2;114
133;77;169;2;117
134;77;139;2;118
135;77;116;1;120
136;78;100;1;120
137;78;88;1;120
138;78;78;1;121
139;78;70;0;121
140;78;58;0;122
141;78;47;0;124
142;78;39;0;124
143;78;34;0;126
144;78;29;0;127
145;79;23;0;127
146;79;14;0;128
147;79;12;0;128
148;79;10;0;128
149;79;8;0;128
150;79;5;0;128
151;80;4;0;128
152;81;3;0;128
153;82;2;0;128
154;82;2;0;128
155;83;2;0;128
156;84;2;0;128
157;85;1;0;128
158;85;1;0;128
159;85;1;0;128
160;86;0;0;128
161;86;0;0;128
162;86;0;0;128
163;86;0;0;128
164;86;0;0;128
165;87;0;0;128
166;87;0;0;128
167;88;0;0;128
168;89;0;0;128
169;91;0;0;128
170;93;0;0;128
171;93;0;0;128
172;96;0;0;128
173;99;0;0;128
174;99;0;0;128
175;99;0;0;128
176;99;0;0;128
177;99;0;0;128
178;99;0;0;128
179;99;0;0;128
180;100;0;0;128
181;100;0;0;128
182;100;0;0;128
183;100;0;0;128
184;101;0;0;128
185;102;0;0;128
186;102;0;0;128
187;102;0;0;128
188;102;0;0;128
189;102;0;0;128
190;102;0;0;128
191;102;0;0;128
192;102;0;0;128
193;102;0;0;128
194;102;0;0;128
195;102;0;0;128
196;104;0;0;128
197;104;0;0;128
198;105;0;0;128
199;105;0;0;128
200;106;0;0;128
201;106;0;0;128
202;106;0;0;128
203;106;0;0;128
204;106;0;0;128
205;106;0;0;128
206;107;0;0;128
207;107;0;0;128
208;109;0;0;128
209;110;0;0;128
210;110;0;0;128
211;111;0;0;128
212;112;0;0;128
213;112;0;0;128
214;113;0;0;128
215;115;0;0;128
216;116;0;0;128
217;117;0;0;128
218;117;0;0;128
219;118;0;0;128
220;118;0;0;128
221;118;0;0;128
222;119;0;0;128
223;119;0;0;128
224;119;0;0;128
225;119;0;0;128
226;119;0;0;128
227;119;0;0;128
228;119;0;0;128
229;120;0;0;128
230;120;0;0;128
231;120;0;0;128
232;120;0;0;128
233;120;0;0;128
234;120;0;0;128
235;120;0;0;128
236;120;0;0;128
237;120;0;0;128
238;120;0;0;128
239;120;0;0;127
240;120;0;0;127
241;120;0;0;127
242;120;0;0;127
243;120;0;0;127
244;120;0;0;127
245;120;0;0;127
246;120;0;0;127
247;120;0;0;127
248;120;0;0;127
249;120;0;0;126
250;120;0;0;126
251;120;0;0;125
252;120;0;0;125
253;120;0;0;124
254;120;0;0;122
255;120;0;0;122
256;120;0;0;121
257;120;0;0;119
258;120;0;0;119
259;120;0;0;119
260;120;0;0;119
261;120;0;0;119
262;120;0;0;119
263;120;0;0;116
264;120;0;0;115
265;120;0;0;111
266;120;0;0;109
