Timestep;Food;Prey;Prey2;Predators
0;45;19;12;3
1;45;21;12;3
2;45;24;12;3
3;46;26;12;3
4;46;25;12;3
5;46;28;13;3
6;46;29;12;3
7;46;30;12;3
8;46;36;13;3
9;47;36;14;3
10;47;37;14;3
11;47;39;14;3
12;48;39;15;3
13;49;39;16;3
14;49;40;16;3
15;49;41;16;3
16;49;42;17;3
17;49;43;16;3
18;50;45;16;3
19;50;46;16;3
20;50;46;16;3
21;51;48;16;3
22;52;52;15;3
23;52;53;16;3
24;53;55;17;3
25;53;56;17;3
26;53;58;17;3
27;53;59;17;3
28;53;59;17;3
29;53;63;17;3
30;54;62;17;3
31;56;63;18;3
32;56;64;18;3
33;56;65;19;3
34;56;69;20;3
35;56;75;22;3
36;56;76;23;3
37;56;78;24;3
38;57;82;25;3
39;57;85;26;3
40;57;89;25;3
41;58;88;26;3
42;59;93;28;3
43;59;94;31;3
44;59;97;32;3
45;59;98;32;3
46;59;105;33;3
47;59;112;35;3
48;59;118;36;3
49;59;126;38;3
50;59;140;38;3
51;59;147;40;3
52;59;158;42;3
53;59;164;44;3
54;59;174;46;5
55;59;181;45;5
56;60;185;46;5
57;60;191;47;5
58;60;195;49;5
59;60;205;50;5
60;60;220;50;5
61;60;229;51;5
62;61;240;53;5
63;61;252;52;5
64;62;263;54;5
65;62;284;55;5
66;63;306;54;7
67;63;321;55;7
68;63;337;53;7
69;63;355;52;7
70;63;375;51;7
71;63;390;51;7
72;63;408;50;7
73;63;422;50;7
74;63;438;51;7
75;63;453;51;7
76;63;471;51;7
77;63;495;51;7
78;63;512;50;8
79;64;531;50;8
80;64;548;51;10
81;64;565;52;11
82;64;587;50;11
83;64;614;50;11
84;64;635;51;11
85;64;647;51;12
86;64;666;51;12
87;64;688;51;12
88;64;698;51;13
89;64;710;51;15
90;65;715;51;16
91;65;730;51;16
92;65;742;50;16
93;65;757;49;16
94;66;768;49;17
95;67;774;49;19
96;67;783;48;20
97;67;789;47;22
98;68;791;47;24
99;70;792;46;26
100;70;792;46;26
101;70;793;45;26
102;71;788;45;26
103;71;792;45;26
104;71;792;45;26
105;71;788;42;28
106;71;789;40;30
107;71;782;38;33
108;71;780;37;36
109;71;774;35;39
110;71;757;35;40
111;72;754;34;40
112;72;745;32;40
113;73;738;32;40
114;73;725;31;47
115;73;701;31;50
116;73;679;29;52
117;73;666;28;56
118;73;639;28;60
119;73;604;26;63
120;73;573;23;63
121;73;548;20;67
122;73;516;18;70
123;73;486;17;74
124;73;448;16;77
125;74;411;15;80
126;75;377;14;83
127;75;341;14;84
128;75;304;13;88
129;75;281;12;91
130;75;249;11;93
131;75;224;8;94
132;76;199;7;96
133;77;178;5;99
134;77;160;4;103
135;78;142;2;104
136;78;123;0;106
137;78;108;0;108
138;78;90;0;109
139;78;77;0;110
140;78;60;0;112
141;78;51;0;112
142;79;45;0;112
143;81;36;0;112
144;81;31;0;116
145;81;25;0;116
146;82;18;0;116
147;82;11;0;116
148;82;8;0;116
149;83;8;0;116
150;84;6;0;116
151;86;4;0;116
152;87;4;0;116
153;87;2;0;116
154;87;2;0;116
155;87;1;0;116
156;88;0;0;116
157;88;0;0;116
158;89;0;0;116
159;90;0;0;116
160;91;0;0;116
161;91;0;0;116
162;92;0;0;116
163;92;0;0;116
164;92;0;0;116
165;92;0;0;116
166;93;0;0;116
167;94;0;0;116
168;94;0;0;116
169;94;0;0;116
170;94;0;0;116
171;94;0;0;116
172;94;0;0;116
173;94;0;0;116
174;94;0;0;116
175;94;0;0;116
176;95;0;0;116
177;95;0;0;116
178;96;0;0;116
179;97;0;0;116
180;97;0;0;116
181;97;0;0;116
182;97;0;0;116
183;97;0;0;116
184;97;0;0;116
185;97;0;0;116
186;98;0;0;116
187;98;0;0;116
188;98;0;0;116
189;98;0;0;116
190;98;0;0;116
191;98;0;0;116
192;98;0;0;116
193;99;0;0;116
194;99;0;0;116
195;99;0;0;116
196;99;0;0;116
197;99;0;0;116
198;100;0;0;116
199;101;0;0;116
200;102;0;0;116
201;102;0;0;116
202;104;0;0;116
203;104;0;0;116
204;104;0;0;116
205;104;0;0;116
206;105;0;0;116
207;106;0;0;116
208;107;0;0;116
209;108;0;0;116
210;108;0;0;116
211;108;0;0;116
212;108;0;0;116
213;109;0;0;116
214;109;0;0;116
215;109;0;0;116
216;110;0;0;116
217;110;0;0;116
218;110;0;0;116
219;110;0;0;116
220;110;0;0;116
221;110;0;0;116
222;111;0;0;116
223;111;0;0;116
224;111;0;0;116
225;114;0;0;116
226;114;0;0;116
227;114;0;0;116
228;114;0;0;116
229;114;0;0;116
230;114;0;0;116
