Timestep;Food;Prey1;Prey2;Predators
0;45;14;12;3
1;45;14;12;3
2;47;14;12;3
3;48;14;12;3
4;48;14;14;3
5;48;14;15;3
6;50;14;16;3
7;50;14;17;3
8;50;14;18;3
9;50;14;18;3
10;51;14;19;3
11;51;14;19;3
12;51;14;20;3
13;51;14;23;3
14;51;14;22;3
15;51;14;24;3
16;51;14;24;3
17;51;14;24;3
18;51;14;26;3
19;51;14;26;3
20;51;14;26;3
21;51;14;26;3
22;51;14;26;3
23;51;14;26;3
24;51;13;25;3
25;52;13;25;3
26;53;13;26;3
27;53;13;29;3
28;53;13;28;3
29;53;13;28;3
30;54;13;28;3
31;54;13;29;3
32;55;13;30;3
33;55;13;30;3
34;56;13;29;3
35;56;13;29;3
36;56;13;29;3
37;56;13;30;3
38;56;13;32;3
39;57;13;34;3
40;57;13;35;3
41;57;13;34;3
42;58;13;34;3
43;58;13;34;3
44;58;13;35;3
45;59;13;35;3
46;59;13;35;3
47;59;13;35;3
48;60;13;35;3
49;61;13;36;3
50;62;13;38;3
51;62;13;39;3
52;65;13;39;3
53;65;13;40;3
54;65;13;40;3
55;65;13;42;3
56;66;13;42;3
57;66;13;44;3
58;66;13;43;3
59;67;13;43;3
60;68;13;42;3
61;68;13;43;3
62;68;13;45;3
63;70;13;46;3
64;70;13;47;3
65;72;13;47;3
66;72;13;47;3
67;72;13;50;3
68;73;13;53;3
69;73;13;56;3
70;73;13;58;3
71;73;13;60;3
72;73;13;60;3
73;74;13;61;3
74;74;13;62;3
75;74;13;65;3
76;74;14;68;3
77;74;14;70;3
78;74;14;70;3
79;75;14;71;3
80;75;14;73;3
81;76;14;80;3
82;76;14;86;3
83;77;14;90;3
84;77;14;91;3
85;77;14;92;3
86;77;15;95;3
87;77;15;99;3
88;78;15;102;3
89;78;16;101;3
90;78;17;105;3
91;79;17;108;3
92;79;17;109;3
93;81;17;116;3
94;81;17;120;3
95;81;17;122;3
96;81;17;122;3
97;81;17;122;3
98;81;18;124;3
99;81;19;128;3
100;81;19;134;3
101;82;19;144;3
102;82;19;151;3
103;82;19;163;3
104;82;19;168;3
105;83;19;173;3
106;84;19;178;3
107;84;19;181;3
108;84;19;185;3
109;84;19;192;3
110;84;20;198;4
111;85;19;205;4
112;85;20;218;4
113;86;20;228;4
114;86;20;241;4
115;86;22;258;4
116;86;22;272;4
117;86;23;289;4
118;86;25;298;4
119;87;28;306;4
120;87;28;324;4
121;87;29;331;4
122;87;29;344;4
123;89;29;355;4
124;89;29;366;4
125;89;29;380;4
126;89;31;397;4
127;90;33;416;4
128;90;34;429;5
129;90;35;437;5
130;90;34;449;5
131;90;37;456;6
132;92;38;474;7
133;93;39;486;7
134;93;39;502;7
135;94;39;513;7
136;94;41;518;7
137;95;42;523;8
138;95;42;535;8
139;95;43;544;8
140;97;43;559;8
141;97;44;565;9
142;97;46;572;9
143;97;48;579;9
144;97;50;579;9
145;97;51;594;9
146;98;51;600;11
147;98;53;606;11
148;98;55;613;11
149;100;56;629;11
150;100;59;639;11
151;103;58;645;12
152;103;59;650;12
153;103;57;656;12
154;104;58;669;13
155;104;58;683;15
156;104;59;687;16
157;105;61;693;18
158;105;68;699;18
159;105;67;716;18
160;105;67;726;18
161;107;69;730;18
162;108;71;741;19
163;108;71;751;19
164;109;76;761;24
165;109;81;762;25
166;109;80;769;26
167;109;78;771;28
168;109;79;775;28
169;109;81;766;28
170;109;84;760;30
171;110;87;751;30
172;110;87;742;30
173;112;88;735;31
174;112;89;726;32
175;113;88;716;33
176;114;89;712;34
177;114;89;700;36
178;116;90;683;36
179;116;89;668;40
180;119;90;661;41
181;119;89;654;42
182;119;90;640;45
183;120;88;629;47
184;120;82;623;49
185;120;81;608;51
186;120;81;590;56
187;120;75;571;57
188;120;76;550;61
189;120;74;538;62
190;120;75;516;64
191;120;72;498;68
192;120;70;474;69
193;120;66;452;72
194;120;61;432;76
195;120;53;407;79
196;120;50;381;81
197;120;49;358;82
198;120;44;339;84
199;120;40;322;87
200;120;37;300;89
201;120;37;278;89
202;120;36;254;92
203;120;34;238;93
204;120;32;225;93
205;120;31;204;97
206;120;28;187;97
207;120;28;172;99
208;120;29;149;101
209;120;26;134;102
210;120;23;123;104
211;120;20;104;106
212;120;16;97;108
213;120;15;85;109
214;120;14;76;111
215;120;12;68;112
216;120;12;59;112
217;120;13;53;112
218;120;10;52;112
219;120;10;46;112
220;120;9;41;112
221;120;8;38;112
222;120;9;37;112
223;120;6;35;112
224;120;5;33;112
225;120;4;31;112
226;120;4;26;113
227;120;4;23;115
228;120;4;22;115
229;120;4;19;115
230;120;3;17;115
231;120;2;15;115
232;120;1;12;115
233;120;1;11;115
234;120;1;9;115
235;120;1;7;115
236;120;0;5;116
237;120;0;3;117
238;120;0;2;117
