Timestep;Food;Prey;Prey2;Predators
0;12;7;4;2
1;12;7;4;2
2;12;7;4;2
3;12;7;4;2
4;12;7;5;2
5;12;7;5;2
6;12;7;6;2
7;12;7;7;2
8;12;8;7;2
9;12;8;8;2
10;12;8;8;2
11;12;8;8;2
12;12;8;7;2
13;12;8;7;2
14;12;8;7;2
15;12;8;7;2
16;12;8;7;2
17;12;8;7;2
18;12;8;7;2
19;12;8;7;2
20;12;8;7;2
21;12;8;7;2
22;12;8;7;2
23;12;7;7;2
24;12;7;7;2
25;12;7;7;2
26;12;7;7;2
27;12;7;7;2
28;12;7;7;2
29;12;7;7;2
30;12;7;7;2
31;12;7;7;2
32;12;7;7;2
33;12;8;8;2
34;12;6;8;2
35;12;6;8;2
36;12;7;8;2
37;12;7;8;2
38;12;7;8;2
39;12;7;8;2
40;12;7;8;2
41;12;7;8;2
42;12;7;8;2
43;12;8;8;2
44;12;8;8;2
45;12;8;8;2
46;12;8;8;2
47;12;8;8;2
48;12;8;8;2
49;12;8;8;2
50;12;8;8;2
51;12;8;8;2
52;13;9;8;2
53;13;9;8;2
54;13;9;9;2
55;13;10;9;2
56;13;10;9;2
57;13;10;9;2
58;13;10;10;2
59;13;11;10;2
60;13;11;10;2
61;13;12;10;2
62;13;12;12;2
63;13;12;12;2
64;13;12;13;2
65;13;12;13;2
66;13;12;13;2
67;13;12;14;2
68;13;12;14;2
69;13;12;15;2
70;13;11;16;2
71;13;11;17;2
72;13;11;17;2
73;13;11;17;2
74;13;11;17;2
75;13;11;17;2
76;13;11;18;2
77;13;11;19;2
78;14;11;19;2
79;14;11;19;2
80;14;11;21;2
81;14;11;21;2
82;14;11;21;2
83;14;10;21;2
84;14;10;21;2
85;14;10;21;2
86;14;11;21;2
87;14;11;21;2
88;14;11;21;2
89;14;12;20;2
90;14;12;22;2
91;14;12;23;2
92;14;12;24;2
93;14;11;24;2
94;14;11;25;2
95;14;11;25;2
96;14;11;26;2
97;14;11;28;2
98;14;11;30;2
99;14;12;29;2
100;14;12;28;3
101;14;12;30;3
102;14;12;31;3
103;14;12;31;3
104;14;12;32;3
105;14;12;33;3
106;14;12;33;3
107;14;12;32;3
108;14;12;32;3
109;14;12;34;3
110;14;12;35;3
111;14;12;37;3
112;14;12;38;3
113;14;12;37;3
114;14;11;38;3
115;14;12;39;3
116;14;12;39;3
117;14;12;40;3
118;14;12;39;4
119;14;12;38;4
120;15;12;39;4
121;15;12;42;4
122;16;13;45;4
123;16;14;45;4
124;16;14;47;4
125;16;15;46;4
126;16;15;46;4
127;16;15;45;4
128;16;15;47;4
129;16;15;48;4
130;16;15;49;4
131;16;15;50;4
132;16;14;51;4
133;16;14;51;4
134;16;14;51;4
135;16;14;52;4
136;16;14;51;4
137;16;14;52;4
138;16;14;52;4
139;16;14;53;4
140;16;14;53;4
141;16;14;55;4
142;16;14;56;4
143;16;13;57;4
144;16;13;56;5
145;16;13;57;5
146;16;13;58;5
147;16;13;59;5
148;16;13;60;5
149;16;13;61;5
150;16;13;60;5
151;16;13;60;5
152;17;14;60;5
153;17;14;60;5
154;17;14;64;5
155;17;14;64;6
156;17;13;66;6
157;17;13;68;6
158;17;14;69;6
159;17;14;70;6
160;17;14;70;6
161;17;14;69;6
162;17;14;69;6
163;17;14;68;6
164;17;14;67;6
165;17;14;67;6
166;17;14;67;6
167;17;14;69;6
