Timestep;Food;Prey;Prey2;Predators
0;12;6;5;2
1;12;7;5;2
2;12;7;5;2
3;12;7;5;2
4;12;7;5;2
5;12;7;5;2
6;12;7;6;2
7;12;7;6;2
8;12;7;6;2
9;12;7;6;2
10;12;7;6;2
11;12;7;6;2
12;12;7;6;2
13;12;7;7;2
14;12;7;7;2
15;12;7;7;2
16;12;7;8;2
17;12;7;8;2
18;12;7;8;2
19;12;7;8;2
20;12;7;8;2
21;12;7;8;2
22;12;8;8;2
23;12;8;7;2
24;12;8;7;2
25;12;8;7;2
26;12;8;7;2
27;12;8;7;2
28;12;10;7;2
29;12;10;7;2
30;12;10;7;2
31;12;10;7;2
32;12;10;7;2
33;12;10;7;2
34;12;10;7;2
35;12;11;8;2
36;12;11;8;2
37;12;11;8;2
38;12;11;8;2
39;12;11;8;2
40;12;11;8;2
41;12;11;8;2
42;12;11;8;2
43;12;10;8;2
44;12;10;9;2
45;12;10;10;2
46;12;10;10;2
47;12;10;10;2
48;13;10;10;2
49;13;10;10;2
50;13;10;10;2
51;13;10;10;2
52;13;10;10;2
53;13;10;10;2
54;13;10;10;2
55;13;10;10;2
56;13;10;11;2
57;13;10;11;2
58;13;10;13;2
59;13;10;13;2
60;13;10;13;2
61;13;10;13;2
62;13;10;13;2
63;13;10;14;2
64;13;11;14;2
65;13;11;14;2
66;13;11;14;2
67;13;12;15;2
68;13;12;15;2
69;13;12;15;2
70;13;12;16;2
71;13;12;15;2
72;13;12;16;2
73;13;12;16;2
74;13;12;16;2
75;13;12;16;2
76;13;12;17;2
77;13;12;17;2
78;13;12;17;2
79;13;12;17;2
80;13;12;17;2
81;13;12;18;2
82;13;12;18;2
83;13;12;19;2
84;13;12;19;2
85;13;12;20;2
86;13;12;21;2
87;13;13;20;2
88;14;13;20;2
89;14;13;20;2
90;14;14;21;2
91;14;14;21;2
92;14;14;21;2
93;14;14;22;2
94;14;14;22;2
95;14;14;22;2
96;14;14;22;2
97;14;14;23;2
98;14;14;23;2
99;14;14;24;2
100;14;14;25;2
101;14;15;25;2
102;14;15;25;2
103;14;15;26;2
104;14;15;26;2
105;14;15;26;2
106;14;15;27;1
107;14;15;27;1
108;14;15;27;1
109;14;15;27;1
110;14;15;28;1
111;14;15;28;1
112;14;15;28;1
113;14;15;28;1
114;14;15;28;1
115;14;15;29;1
116;14;18;28;1
