Timestep;Food;Prey;Prey2;Predators
0;12;6;4;2
1;12;6;4;2
2;12;6;4;2
3;12;6;4;2
4;12;6;4;2
5;12;6;4;2
6;12;6;4;2
7;12;6;4;2
8;12;6;4;2
9;12;6;4;2
10;12;6;4;2
11;12;6;4;2
12;12;6;4;2
13;12;6;5;2
14;12;6;5;2
15;12;6;5;2
16;12;6;6;2
17;12;6;6;2
18;12;6;6;2
19;12;6;6;2
20;13;7;6;2
21;13;7;6;2
22;13;7;6;2
23;13;7;6;2
24;13;8;7;2
25;13;8;7;2
26;13;8;7;2
27;13;8;7;2
28;13;8;8;2
29;13;8;9;2
30;13;8;9;2
31;13;8;9;2
32;13;8;9;2
33;13;8;9;2
34;13;8;9;2
35;13;8;9;2
36;13;8;9;2
37;13;8;10;2
38;13;8;10;2
39;13;8;10;0
40;13;8;11;0
41;13;8;11;0
42;13;8;12;0
43;13;8;12;0
44;13;8;13;0
45;13;9;13;0
46;13;10;14;0
47;13;10;14;0
48;13;10;15;0
49;13;10;16;0
50;13;10;16;0
51;13;10;18;0
52;13;10;18;0
53;13;10;18;0
54;13;10;19;0
55;13;10;20;0
56;13;10;21;0
57;13;10;22;0
58;13;10;22;0
59;13;10;22;0
60;13;10;22;0
61;13;10;24;0
62;13;10;24;0
63;13;10;24;0
64;13;10;24;0
65;13;10;24;0
66;13;10;24;0
67;13;10;25;0
68;13;10;26;0
69;13;10;26;0
70;13;10;27;0
71;13;10;27;0
72;13;10;27;0
73;13;10;28;0
74;13;10;30;0
75;13;11;30;0
76;13;11;30;0
77;13;11;30;0
78;13;11;30;0
79;13;11;31;0
80;13;11;31;0
81;13;11;32;0
82;13;11;32;0
83;13;11;32;0
84;13;11;33;0
85;13;11;33;0
86;13;11;34;0
87;13;11;34;0
88;13;11;34;0
89;13;11;35;0
90;13;11;35;0
91;13;11;35;0
92;13;11;35;0
93;13;11;35;0
94;13;11;38;0
95;13;11;40;0
96;13;11;41;0
97;13;11;43;0
98;13;11;45;0
99;13;11;46;0
100;13;11;46;0
101;13;11;46;0
102;13;11;46;0
103;13;11;46;0
104;13;11;46;0
105;13;11;49;0
106;13;11;50;0
107;13;11;52;0
108;13;11;52;0
109;13;11;54;0
110;13;11;55;0
111;13;12;55;0
112;13;12;56;0
113;13;12;58;0
114;13;12;58;0
115;13;12;60;0
116;13;12;62;0
117;13;12;65;0
118;13;13;66;0
119;13;13;67;0
120;13;13;68;0
121;13;13;70;0
122;13;13;71;0
123;13;13;72;0
124;13;13;74;0
125;13;13;75;0
126;13;14;75;0
127;13;14;76;0
128;13;14;80;0
129;13;14;83;0
130;13;14;85;0
131;13;14;85;0
132;13;15;85;0
133;13;17;86;0
134;13;17;88;0
135;13;17;91;0
136;13;17;95;0
137;13;17;98;0
138;13;17;101;0
139;13;17;102;0
140;13;17;103;0
141;13;17;104;0
142;13;17;106;0
143;13;18;107;0
144;13;18;108;0
145;13;18;109;0
146;13;18;110;0
147;13;19;113;0
148;13;19;115;0
149;13;20;116;0
150;13;20;117;0
151;13;20;118;0
152;13;20;121;0
153;13;20;121;0
154;13;20;121;0
155;13;20;123;0
156;13;20;128;0
157;13;21;131;0
158;13;21;132;0
159;13;21;136;0
160;13;21;139;0
161;13;21;142;0
162;13;21;146;0
163;13;21;147;0
164;13;21;149;0
165;13;21;150;0
166;13;21;152;0
167;13;21;153;0
168;13;21;156;0
169;13;22;157;0
170;13;22;160;0
171;13;22;162;0
172;13;22;163;0
173;13;22;165;0
174;13;23;168;0
175;13;23;171;0
176;13;23;174;0
177;13;23;178;0
178;13;23;183;0
179;13;23;187;0
180;13;23;190;0
181;13;23;194;0
182;13;23;199;0
183;13;23;201;0
184;13;24;206;0
185;13;25;209;0
186;13;25;210;0
187;13;26;213;0
188;13;26;215;0
189;13;26;218;0
190;13;26;218;0
191;13;26;219;0
192;13;26;220;0
193;13;27;224;0
194;13;28;226;0
195;13;28;228;0
196;13;28;228;0
197;13;28;229;0
198;13;28;230;0
199;13;28;233;0
200;13;28;237;0
201;13;28;241;0
202;13;28;244;0
203;13;29;250;0
204;13;29;253;0
205;13;29;254;0
206;13;29;256;0
207;13;29;259;0
208;13;29;261;0
209;13;30;265;0
210;13;32;267;0
211;13;34;268;0
212;13;35;270;0
213;13;36;271;0
214;13;36;275;0
215;13;36;279;0
216;13;37;281;0
217;13;37;285;0
218;13;38;287;0
219;13;39;289;0
220;13;42;291;0
221;13;44;295;0
222;13;45;300;0
223;13;46;304;0
224;13;47;304;0
225;13;48;305;0
226;13;49;307;0
227;13;50;310;0
228;13;50;314;0
229;13;51;317;0
230;13;51;320;0
231;13;51;323;0
232;13;53;325;0
233;13;53;327;0
234;13;54;330;0
235;13;55;335;0
236;13;57;335;0
237;13;57;340;0
238;13;59;346;0
239;13;59;348;0
240;13;59;352;0
241;13;60;357;0
242;13;61;360;0
243;13;62;364;0
244;13;63;367;0
245;13;64;369;0
246;13;64;371;0
247;13;64;375;0
248;13;64;380;0
249;13;65;383;0
250;13;65;388;0
251;13;66;391;0
252;13;66;397;0
253;13;66;401;0
254;13;68;404;0
255;13;71;406;0
256;13;71;409;0
257;13;72;412;0
258;13;73;416;0
259;13;73;420;0
260;13;74;423;0
261;13;74;428;0
262;13;74;430;0
263;13;75;437;0
264;13;75;441;0
265;13;75;447;0
266;13;76;450;0
267;13;77;456;0
268;13;78;463;0
269;13;78;467;0
270;14;78;474;0
271;14;78;478;0
272;14;79;479;0
273;14;79;483;0
274;14;80;488;0
275;14;80;495;0
276;14;80;498;0
277;14;80;502;0
278;14;82;504;0
279;14;83;507;0
280;14;83;513;0
281;14;84;518;0
282;14;84;522;0
283;14;84;526;0
284;14;85;529;0
285;14;86;530;0
286;14;86;535;0
287;14;87;540;0
288;14;88;547;0
289;14;93;548;0
290;15;93;554;0
291;15;95;558;0
292;15;99;561;0
293;15;101;568;0
294;15;104;572;0
295;15;107;578;0
296;15;113;580;0
297;15;115;584;0
298;15;115;589;0
299;15;116;591;0
300;15;116;594;0
301;15;116;598;0
302;15;118;598;0
303;15;119;600;0
304;15;120;604;0
305;15;120;608;0
306;15;122;611;0
307;15;122;618;0
308;15;124;621;0
309;15;125;624;0
310;16;126;630;0
311;16;126;631;0
312;16;127;635;0
313;16;127;639;0
314;16;127;641;0
315;16;128;644;0
316;16;132;648;0
317;16;135;653;0
318;16;141;658;0
319;16;145;659;0
320;16;146;664;0
321;16;148;666;0
322;16;150;671;0
323;16;154;675;0
324;16;156;680;0
325;16;159;686;0
326;16;164;691;0
327;16;167;695;0
328;16;170;697;0
329;16;173;703;0
330;16;179;704;0
331;16;182;708;0
332;16;185;711;0
333;16;190;714;0
334;16;192;716;0
335;16;195;718;0
336;16;198;720;0
337;16;200;724;0
338;16;202;730;0
339;16;208;733;0
340;16;212;738;0
341;16;216;739;0
342;16;219;744;0
343;16;226;744;0
344;16;229;747;0
345;16;232;749;0
346;16;237;754;0
347;16;241;759;0
348;16;246;763;0
349;16;253;767;0
350;16;258;773;0
351;16;263;774;0
352;16;267;777;0
353;16;270;782;0
354;16;274;786;0
355;16;281;790;0
356;16;286;794;0
357;16;290;795;0
358;16;295;797;0
359;16;302;798;0
360;16;311;800;0
361;16;315;807;0
362;16;321;809;0
363;16;325;813;0
364;16;331;813;0
365;17;338;815;0
366;17;343;818;0
367;18;352;819;0
368;18;361;823;0
369;18;370;827;0
370;18;378;828;0
371;18;385;830;0
372;18;391;830;0
373;18;396;833;0
374;18;405;836;0
375;18;412;841;0
376;18;421;843;0
377;18;429;847;0
378;18;437;851;0
379;19;445;855;0
380;19;455;855;0
381;19;460;857;0
382;19;465;862;0
383;19;472;865;0
384;19;483;867;0
385;19;493;870;0
386;19;499;872;0
387;19;507;875;0
388;19;512;876;0
389;19;518;880;0
390;19;527;880;0
391;19;536;883;0
392;19;547;884;0
393;19;557;887;0
394;19;567;889;0
395;19;575;894;0
396;19;588;895;0
397;19;593;901;0
398;19;604;902;0
399;19;614;902;0
400;19;622;902;0
401;19;627;904;0
402;19;637;906;0
403;19;648;908;0
404;19;658;911;0
405;20;669;910;0
406;20;680;911;0
407;20;690;911;0
408;20;699;912;0
409;20;709;913;0
410;20;720;915;0
411;20;731;916;0
412;20;744;917;0
413;20;759;918;0
414;20;768;922;0
415;20;776;923;0
416;20;789;923;0
417;21;802;924;0
418;21;814;924;0
419;21;825;924;0
420;21;836;925;0
421;21;848;926;0
422;21;861;926;0
423;21;871;930;0
424;21;885;931;0
425;22;896;933;0
426;22;908;935;0
427;22;922;935;0
428;22;931;935;0
429;22;943;935;0
430;22;963;935;0
431;22;977;935;0
432;22;993;936;0
433;22;1008;937;0
434;22;1019;939;0
435;22;1027;941;0
436;22;1039;943;0
437;22;1050;943;0
438;22;1063;944;0
439;22;1077;944;0
440;22;1091;944;0
441;22;1109;944;0
442;22;1123;944;0
443;22;1141;944;0
444;22;1157;944;0
445;22;1175;944;0
446;22;1192;944;0
447;22;1205;944;0
448;22;1218;946;0
449;22;1231;945;0
450;22;1245;945;0
451;23;1262;945;0
452;23;1276;945;0
453;23;1291;944;0
454;24;1303;943;0
455;24;1317;943;0
456;24;1333;941;0
457;24;1345;941;0
458;24;1359;941;0
459;24;1375;942;0
460;24;1390;941;0
461;24;1406;941;0
462;24;1421;940;0
463;24;1436;941;0
464;24;1454;941;0
465;24;1470;941;0
466;24;1487;941;0
467;24;1499;940;0
468;24;1514;940;0
469;24;1534;940;0
470;24;1547;940;0
471;24;1560;939;0
472;24;1575;939;0
473;24;1586;939;0
474;24;1601;939;0
475;24;1617;939;0
476;24;1634;939;0
477;24;1652;939;0
478;24;1666;939;0
479;24;1683;939;0
480;24;1699;939;0
481;24;1714;939;0
482;24;1731;938;0
483;24;1745;938;0
484;24;1756;939;0
485;24;1772;939;0
486;24;1789;937;0
487;24;1805;936;0
488;24;1821;936;0
489;24;1834;938;0
490;24;1841;937;0
491;25;1853;937;0
492;25;1869;937;0
493;25;1886;937;0
494;25;1903;938;0
495;25;1924;938;0
496;25;1939;935;0
