Timestep;Food;Prey;Prey2;Predators
0;25;0;39;27
1;25;0;37;27
2;25;0;35;27
3;25;0;30;27
4;25;0;26;27
5;25;0;24;27
6;25;0;22;27
7;25;0;21;27
8;25;0;19;27
9;25;0;17;27
10;25;0;17;28
11;25;0;16;28
12;25;0;16;28
13;25;0;15;28
14;25;0;16;28
15;25;0;14;28
16;25;0;11;29
17;25;0;8;30
18;26;0;6;31
19;27;0;5;31
20;27;0;5;31
21;27;0;5;31
22;27;0;5;31
23;27;0;5;31
24;27;0;5;31
25;27;0;5;31
26;27;0;4;31
27;27;0;4;31
28;27;0;3;31
29;27;0;3;31
30;27;0;3;31
31;27;0;3;31
32;27;0;4;31
33;27;0;4;31
34;27;0;3;31
35;27;0;3;31
36;27;0;3;31
37;27;0;4;31
38;27;0;4;31
39;27;0;4;31
40;27;0;4;31
41;27;0;5;31
42;27;0;5;31
43;27;0;4;31
44;27;0;4;31
45;27;0;5;31
46;27;0;5;31
47;27;0;5;31
48;29;0;5;31
49;29;0;4;31
50;29;0;4;31
51;29;0;4;31
52;29;0;4;31
53;29;0;4;31
54;29;0;5;31
55;29;0;5;31
56;29;0;5;31
57;29;0;5;31
58;29;0;5;31
59;29;0;5;31
60;29;0;5;31
61;29;0;5;31
62;29;0;6;31
63;29;0;6;31
64;29;0;7;31
65;29;0;7;31
66;30;0;7;31
67;30;0;10;31
68;30;0;7;31
69;30;0;8;31
70;31;0;9;31
71;31;0;9;31
72;31;0;9;31
73;31;0;7;31
74;31;0;6;31
75;32;0;5;31
76;32;0;3;31
77;32;0;3;31
78;32;0;3;31
79;32;0;3;31
80;32;0;1;31
81;32;0;0;31
82;32;0;0;31
83;32;0;0;31
84;32;0;0;31
85;32;0;0;31
86;32;0;0;31
87;32;0;0;31
88;32;0;0;31
89;32;0;0;31
90;32;0;0;31
91;32;0;0;31
92;32;0;0;31
93;32;0;0;31
94;32;0;0;31
95;32;0;0;31
96;32;0;0;31
97;32;0;0;31
98;32;0;0;31
99;32;0;0;30
100;32;0;0;30
101;32;0;0;30
102;32;0;0;30
103;33;0;0;30
104;33;0;0;30
105;33;0;0;30
106;33;0;0;30
107;33;0;0;29
108;33;0;0;29
109;33;0;0;29
110;33;0;0;28
111;34;0;0;28
112;34;0;0;28
113;34;0;0;28
114;34;0;0;28
115;34;0;0;28
116;34;0;0;27
117;34;0;0;25
118;34;0;0;24
119;34;0;0;24
120;35;0;0;24
121;35;0;0;24
122;35;0;0;23
123;35;0;0;23
124;35;0;0;23
125;35;0;0;23
126;35;0;0;23
127;35;0;0;23
128;35;0;0;23
129;35;0;0;23
130;35;0;0;23
131;35;0;0;23
132;35;0;0;23
133;35;0;0;23
134;35;0;0;23
135;36;0;0;23
136;36;0;0;23
137;36;0;0;23
138;36;0;0;23
139;36;0;0;23
140;36;0;0;23
141;36;0;0;23
142;36;0;0;23
143;36;0;0;23
144;36;0;0;23
145;36;0;0;23
146;36;0;0;23
147;36;0;0;22
148;36;0;0;22
149;36;0;0;22
150;36;0;0;22
151;36;0;0;22
152;36;0;0;22
153;36;0;0;22
154;36;0;0;22
155;36;0;0;22
156;36;0;0;22
157;36;0;0;22
158;36;0;0;22
159;36;0;0;22
160;37;0;0;22
161;37;0;0;22
162;37;0;0;22
163;37;0;0;22
164;37;0;0;22
165;37;0;0;22
166;37;0;0;22
167;37;0;0;22
168;37;0;0;21
169;37;0;0;21
170;37;0;0;21
171;37;0;0;21
172;37;0;0;21
173;37;0;0;21
174;37;0;0;21
175;37;0;0;21
176;37;0;0;20
177;37;0;0;20
178;37;0;0;20
179;38;0;0;20
180;38;0;0;20
181;39;0;0;20
182;39;0;0;20
183;39;0;0;20
184;39;0;0;20
185;39;0;0;20
186;39;0;0;20
187;39;0;0;20
188;40;0;0;20
189;40;0;0;20
190;40;0;0;20
191;40;0;0;19
192;40;0;0;19
193;41;0;0;19
194;41;0;0;19
195;41;0;0;19
196;41;0;0;19
197;41;0;0;19
198;41;0;0;19
199;41;0;0;19
200;41;0;0;19
201;41;0;0;19
202;42;0;0;19
203;42;0;0;19
204;42;0;0;19
205;42;0;0;19
206;42;0;0;19
207;42;0;0;18
208;42;0;0;18
