Timestep;Food;Prey;Prey2;Predators
0;12;5;4;2
1;12;5;5;2
2;12;5;6;2
3;12;6;6;2
4;12;6;6;2
5;12;6;6;2
6;12;6;6;2
7;12;6;7;2
8;12;6;7;2
9;12;6;6;2
10;12;6;6;2
11;12;6;6;2
12;12;7;6;2
13;12;7;7;2
14;12;7;7;2
15;12;7;7;2
16;12;7;7;2
17;12;7;7;2
18;12;7;8;2
19;12;7;8;2
20;12;7;8;2
21;12;7;8;2
22;12;7;8;2
23;13;7;8;2
24;13;7;8;2
25;13;7;8;2
26;13;7;8;2
27;13;7;8;2
28;13;7;8;2
29;13;7;8;2
30;13;7;8;2
31;13;7;8;2
32;13;7;9;2
33;13;7;9;2
34;13;7;9;2
35;13;7;10;2
36;13;7;10;2
37;13;7;10;2
38;13;7;10;2
39;13;7;10;2
40;13;7;10;2
41;13;7;11;2
42;13;7;11;2
43;13;7;11;2
44;13;7;12;2
45;13;7;12;2
46;13;7;12;2
47;13;7;12;2
48;13;8;12;2
49;13;8;12;2
50;13;8;12;2
51;13;8;12;2
52;13;8;12;2
53;13;8;12;2
54;13;8;12;2
55;13;8;13;2
56;13;7;13;2
57;13;7;13;2
58;13;7;13;2
59;13;7;15;2
60;13;7;15;2
61;13;7;15;2
62;13;7;15;2
63;13;7;15;2
64;13;7;15;2
65;13;7;15;2
66;13;7;14;2
67;13;8;14;2
68;13;8;14;2
69;13;8;14;2
70;13;8;14;2
71;13;8;14;2
72;13;8;14;2
73;13;8;14;2
74;13;9;13;2
75;13;9;13;2
76;13;9;13;2
77;13;9;13;2
78;13;9;14;2
79;13;9;14;2
80;13;9;15;2
81;13;9;15;2
82;13;9;15;2
83;13;9;15;2
84;13;9;15;2
85;13;9;15;2
86;13;9;15;2
87;13;9;16;2
88;13;9;17;2
89;13;9;17;2
90;13;9;19;2
91;13;9;19;2
92;13;9;20;2
93;13;10;20;2
94;13;11;20;2
95;13;11;21;2
96;13;11;20;2
97;13;11;21;2
98;13;11;21;2
99;13;11;21;2
100;13;11;21;2
101;13;11;21;2
102;13;11;21;2
103;13;11;21;2
104;13;11;20;2
105;13;11;20;2
106;13;12;20;2
107;13;12;22;2
108;13;12;22;2
109;13;12;21;2
110;13;12;21;2
111;13;12;22;2
112;13;12;22;2
113;13;12;22;2
114;13;12;21;3
115;13;12;19;3
116;13;13;19;3
117;13;14;18;3
118;13;14;17;3
119;13;14;17;3
120;13;14;17;3
121;13;14;17;3
122;13;14;17;3
123;13;14;18;3
124;13;14;18;3
125;13;14;19;3
126;13;14;20;3
127;13;14;19;3
128;13;15;20;3
129;13;15;20;3
130;13;15;20;3
131;13;16;20;3
132;13;17;20;3
133;13;17;20;3
134;13;17;20;3
135;13;17;22;3
136;13;17;23;3
137;13;17;23;3
138;13;17;24;3
139;13;17;24;3
140;13;17;25;3
141;13;17;26;3
142;13;17;26;3
143;13;18;26;3
144;13;18;26;3
145;13;18;26;3
146;13;18;26;3
147;13;18;25;3
148;13;18;27;4
149;13;18;25;4
150;13;18;25;4
151;13;18;26;4
152;13;19;27;4
153;13;19;27;4
154;13;19;27;4
155;13;19;26;4
156;13;19;26;4
157;13;18;26;4
158;13;18;26;4
159;13;18;26;4
160;13;18;26;4
161;14;18;27;4
162;14;18;28;4
163;14;20;28;4
164;14;20;29;4
165;14;19;31;4
166;14;20;32;4
167;14;20;34;4
168;14;21;34;4
169;14;21;34;4
170;14;21;36;4
171;14;21;35;4
172;14;21;35;4
173;14;21;37;4
174;14;22;37;4
175;14;23;40;4
176;14;24;41;4
177;14;24;42;4
178;14;24;44;4
179;14;24;45;4
180;14;24;44;4
181;14;24;45;4
182;14;24;46;4
183;14;24;46;4
184;14;24;48;4
185;14;24;48;4
186;14;23;48;4
187;14;23;49;4
188;14;23;52;4
189;14;23;51;5
190;14;23;49;5
191;14;23;51;5
192;14;23;50;5
193;14;23;51;5
194;14;23;52;5
195;14;23;51;5
196;14;23;51;5
197;14;23;51;5
198;14;24;51;5
199;14;25;51;5
200;14;25;51;5
201;14;25;51;5
202;14;25;53;5
203;14;25;52;5
204;14;24;51;5
205;14;24;49;5
206;14;24;47;6
207;14;23;46;6
208;14;21;46;7
209;14;22;44;7
210;14;22;44;7
211;14;22;45;7
212;14;22;45;7
213;14;22;45;7
214;14;22;44;7
215;14;22;44;7
216;14;22;44;7
217;14;22;45;7
218;14;22;45;7
219;14;21;46;8
220;14;20;44;8
221;14;20;43;8
222;14;20;44;8
223;14;20;44;8
224;14;21;45;8
225;14;22;47;8
226;14;20;48;8
227;14;20;48;8
228;14;19;49;8
229;14;19;48;8
230;14;19;49;8
231;14;19;48;8
232;14;19;48;8
233;14;18;45;9
234;14;18;43;9
235;14;19;42;9
236;14;18;44;9
237;14;18;45;9
238;14;19;43;9
239;14;19;42;9
240;14;17;43;9
241;14;17;43;9
242;14;17;40;10
243;14;18;40;10
244;14;18;41;10
245;14;19;41;10
246;14;20;39;11
247;14;20;38;11
248;14;20;38;11
249;14;20;39;11
250;14;20;38;11
251;14;20;38;11
252;14;20;38;11
253;14;20;37;11
254;14;20;37;11
255;14;20;37;11
256;14;20;37;11
257;14;20;37;11
258;14;20;35;11
259;14;19;34;11
260;14;19;32;11
261;15;19;31;11
262;15;19;31;11
263;15;19;32;11
264;15;19;33;11
265;15;20;33;11
266;15;19;33;11
267;15;19;33;11
268;15;19;31;11
269;15;19;30;11
270;15;19;30;11
271;15;19;30;11
272;15;19;29;11
273;15;19;27;11
274;15;19;26;11
275;15;19;26;12
276;15;19;27;12
277;15;20;27;12
278;15;20;27;12
279;15;20;27;12
280;15;20;28;12
281;15;19;27;13
282;15;19;26;13
283;15;19;26;13
284;15;19;27;13
285;15;19;26;13
286;15;19;27;13
287;15;19;27;13
288;15;19;26;14
289;15;19;26;14
290;15;18;26;14
291;15;17;26;15
292;15;17;28;15
293;15;16;27;15
294;15;16;27;15
295;15;16;27;15
296;15;16;25;15
297;15;16;25;15
298;15;16;25;15
299;16;15;25;15
300;16;14;26;15
301;16;14;26;15
302;16;14;26;15
303;16;13;25;15
304;16;13;25;15
305;16;13;25;15
306;16;13;25;15
307;16;12;25;15
308;16;12;24;15
309;16;12;23;15
310;16;12;23;15
311;16;12;23;15
312;16;12;23;15
313;16;12;24;15
314;16;12;23;15
315;16;11;20;15
316;16;11;18;15
317;16;11;18;15
318;16;12;18;15
319;16;12;19;15
320;16;12;20;15
321;16;12;19;15
322;16;12;19;15
323;16;11;19;15
324;16;12;20;15
325;16;12;20;15
326;16;12;20;15
327;16;12;21;15
328;16;12;21;15
329;16;11;21;15
330;16;11;20;15
331;16;11;19;15
332;16;11;18;15
333;16;11;16;15
334;16;11;15;15
335;16;11;14;16
336;16;11;14;16
337;16;11;14;16
338;16;12;14;16
339;16;12;13;16
340;16;12;12;16
341;16;11;12;16
342;16;11;13;16
343;16;10;13;16
344;16;10;11;16
345;16;10;11;16
346;16;9;11;16
347;16;9;11;16
348;16;9;11;16
349;16;9;11;16
350;16;10;11;16
351;16;10;10;16
352;16;9;11;17
353;16;8;11;17
354;16;7;10;17
355;16;6;8;17
356;16;6;7;17
357;16;6;6;17
358;16;6;6;17
359;16;5;6;17
360;16;5;5;17
361;16;5;5;17
362;16;5;5;17
363;16;5;4;17
364;16;4;4;17
365;16;4;4;17
366;16;4;4;17
367;16;4;4;17
368;16;4;4;17
369;16;3;5;17
370;16;3;6;17
371;16;3;6;17
372;16;3;6;17
373;16;3;6;17
374;16;3;6;17
375;16;3;6;17
376;16;3;6;17
377;16;2;6;17
378;16;2;6;17
379;17;1;6;17
380;17;1;6;17
381;17;1;6;17
382;17;1;7;17
383;17;1;7;17
384;17;1;7;17
385;17;2;6;18
386;17;1;6;18
387;17;1;5;18
388;17;1;5;19
389;17;1;5;19
390;17;1;4;19
391;17;1;4;19
392;17;1;4;19
393;17;1;5;19
394;17;1;5;19
395;17;1;5;19
396;17;1;5;19
397;17;1;6;19
398;17;1;7;19
399;17;1;7;19
400;17;1;7;19
401;17;2;7;19
402;17;2;7;19
403;17;2;7;19
404;17;2;7;19
405;17;2;8;19
406;17;1;9;19
407;17;1;9;19
408;17;1;10;19
409;17;1;10;19
410;17;1;10;19
411;17;1;11;19
412;17;1;12;19
413;17;1;12;19
414;17;1;12;19
415;17;1;12;19
416;17;1;12;19
417;17;1;11;19
418;17;1;12;19
419;17;1;12;19
420;17;1;12;19
421;17;1;11;19
422;17;1;10;19
423;17;1;10;19
424;17;1;10;19
425;17;1;10;19
426;17;1;10;19
427;17;1;9;19
428;17;1;8;19
429;17;1;8;19
430;17;1;8;19
431;17;1;7;19
432;17;1;7;19
433;17;1;6;19
434;17;1;6;19
435;17;1;6;19
436;17;1;6;19
437;17;1;6;19
438;17;1;6;19
439;17;1;7;19
440;17;1;7;19
441;17;1;6;19
442;17;1;6;19
443;17;1;6;19
444;17;1;6;19
445;17;1;4;19
446;17;1;5;19
447;17;1;5;19
448;17;1;5;18
449;17;1;5;18
450;17;1;4;18
451;17;1;4;18
452;17;1;4;18
453;17;1;5;18
454;17;1;5;18
455;17;1;5;18
456;17;1;5;18
457;17;1;6;18
458;17;1;6;18
459;17;1;6;18
460;17;1;6;18
461;17;1;6;18
462;17;1;6;18
463;17;1;6;18
464;17;1;6;18
465;17;1;6;18
466;17;1;6;18
467;17;1;6;18
468;17;1;6;18
469;17;1;7;18
470;17;1;8;18
471;17;1;8;18
472;17;1;8;18
473;17;1;8;18
474;17;1;8;18
475;17;1;8;18
476;17;1;8;18
477;17;1;9;18
478;17;0;10;18
479;17;0;10;18
480;17;0;10;18
481;17;0;11;18
482;17;0;12;18
483;17;0;12;18
484;17;0;11;18
485;17;0;12;17
486;17;0;12;17
487;17;0;11;17
488;17;0;11;17
489;17;0;12;17
490;17;0;11;17
491;17;0;11;17
492;17;0;11;17
493;17;0;11;17
494;17;0;11;17
495;17;0;11;17
496;17;0;11;17
497;17;0;11;17
498;17;0;11;17
499;17;0;11;17
500;17;0;11;17
501;17;0;11;17
502;17;0;10;17
503;17;0;10;17
504;17;0;10;17
505;17;0;11;17
506;17;0;11;17
507;17;0;12;17
508;17;0;12;17
509;17;0;13;17
510;17;0;15;17
511;17;0;14;17
512;17;0;13;18
513;17;0;11;18
514;17;0;10;18
515;17;0;10;18
516;17;0;10;18
517;17;0;9;18
518;17;0;9;18
519;17;0;8;18
520;17;0;7;18
521;17;0;6;18
522;17;0;5;18
523;17;0;6;18
524;17;0;6;18
525;17;0;6;18
526;17;0;6;18
527;17;0;6;18
528;17;0;6;18
529;17;0;6;18
530;17;0;6;18
531;17;0;6;18
532;17;0;6;17
533;17;0;6;17
534;17;0;6;17
535;17;0;6;17
536;17;0;8;17
537;17;0;9;17
538;17;0;9;17
539;17;0;8;17
540;17;0;8;17
541;17;0;8;17
542;17;0;8;17
543;17;0;7;17
544;17;0;7;17
545;17;0;8;17
546;17;0;8;17
547;17;0;8;17
548;17;0;7;16
549;17;0;7;16
550;17;0;7;16
551;17;0;4;16
552;18;0;3;16
553;18;0;3;16
554;18;0;3;16
555;18;0;2;16
556;18;0;2;16
557;18;0;2;16
558;18;0;2;16
559;18;0;2;16
560;18;0;2;16
561;18;0;2;16
562;18;0;2;16
563;18;0;2;16
564;19;0;2;16
565;19;0;2;16
566;19;0;2;16
567;19;0;2;16
568;19;0;1;16
569;19;0;1;16
570;20;0;1;16
571;20;0;1;16
572;20;0;1;16
573;20;0;1;16
574;20;0;1;16
575;20;0;1;16
576;20;0;1;16
577;20;0;1;16
578;20;0;1;16
579;20;0;1;16
580;20;0;1;16
581;20;0;1;16
582;20;0;1;16
583;20;0;1;16
584;20;0;1;16
585;20;0;1;16
586;20;0;1;16
587;20;0;1;16
588;20;0;1;16
589;20;0;1;16
590;20;0;1;16
591;20;0;1;16
592;20;0;1;16
593;20;0;1;16
594;20;0;1;16
595;20;0;1;16
596;20;0;1;16
597;20;0;1;16
598;20;0;1;16
599;20;0;1;16
600;20;0;1;16
601;20;0;1;16
602;20;0;0;16
603;20;0;0;16
604;20;0;0;16
605;20;0;0;16
606;20;0;0;16
607;20;0;0;16
608;20;0;0;16
609;20;0;0;16
610;20;0;0;16
611;20;0;0;16
612;20;0;0;16
613;20;0;0;16
614;20;0;0;16
615;20;0;0;16
616;20;0;0;16
617;20;0;0;16
618;20;0;0;16
619;20;0;0;16
620;20;0;0;16
621;20;0;0;16
622;20;0;0;16
623;20;0;0;16
624;20;0;0;16
625;20;0;0;16
626;20;0;0;16
627;20;0;0;16
628;20;0;0;16
629;20;0;0;16
630;20;0;0;16
631;20;0;0;16
632;21;0;0;16
633;21;0;0;16
634;21;0;0;16
635;21;0;0;16
636;21;0;0;16
637;21;0;0;16
638;21;0;0;16
639;21;0;0;16
640;22;0;0;16
641;22;0;0;16
642;22;0;0;16
643;22;0;0;16
644;22;0;0;16
645;22;0;0;16
646;22;0;0;15
647;23;0;0;15
648;23;0;0;15
649;23;0;0;15
650;23;0;0;15
651;23;0;0;15
652;23;0;0;15
653;23;0;0;15
654;23;0;0;15
655;23;0;0;15
656;23;0;0;15
657;23;0;0;15
658;23;0;0;15
659;23;0;0;15
660;23;0;0;15
661;23;0;0;15
662;23;0;0;15
663;23;0;0;15
664;23;0;0;15
665;23;0;0;15
666;23;0;0;15
667;23;0;0;15
668;23;0;0;15
669;23;0;0;15
670;23;0;0;15
671;23;0;0;15
672;23;0;0;15
673;23;0;0;15
674;24;0;0;15
675;24;0;0;15
676;24;0;0;15
677;24;0;0;15
678;24;0;0;15
679;24;0;0;15
680;24;0;0;15
