Timestep;Food;Prey;Prey2;Predators
0;45;18;10;3
1;45;22;10;3
2;45;23;11;3
3;45;24;13;3
4;45;24;13;3
5;45;24;16;3
6;45;24;17;3
7;45;26;17;3
8;45;28;19;3
9;45;29;21;3
10;45;31;24;3
11;45;34;26;3
12;45;41;26;3
13;45;43;26;3
14;46;46;27;3
15;46;48;28;3
16;46;53;29;3
17;46;56;30;3
18;46;59;33;3
19;46;62;34;3
20;46;67;37;3
21;46;68;37;3
22;46;70;37;3
23;46;74;38;3
24;46;77;42;3
25;47;80;43;3
26;49;86;43;3
27;49;88;43;3
28;49;89;45;3
29;49;90;49;3
30;49;94;50;3
31;49;99;50;3
32;49;101;51;3
33;49;108;53;3
34;49;114;55;3
35;49;122;55;3
36;49;127;58;3
37;49;140;59;3
38;49;145;62;3
39;49;153;64;3
40;49;160;66;3
41;50;165;66;4
42;50;175;69;4
43;50;184;69;4
44;50;198;68;4
45;51;210;69;4
46;51;219;68;4
47;51;231;70;4
48;51;244;70;4
49;51;255;73;4
50;52;264;74;4
51;52;277;77;4
52;52;291;77;4
53;53;301;77;5
54;53;312;78;6
55;54;326;77;6
56;55;343;79;6
57;55;355;78;7
58;55;366;78;7
59;55;377;79;7
60;55;386;78;7
61;55;401;77;7
62;55;415;77;8
63;55;426;78;8
64;55;441;78;8
65;56;453;76;8
66;56;461;75;9
67;56;470;75;10
68;56;479;76;10
69;58;496;75;10
70;58;510;75;10
71;58;528;73;10
72;58;538;72;11
73;59;552;71;13
74;59;555;70;13
75;59;570;69;14
76;59;581;69;16
77;59;598;67;17
78;59;609;67;17
79;60;618;66;17
80;60;629;66;17
81;60;632;64;18
82;61;640;64;18
83;61;652;63;19
84;61;659;63;20
85;61;667;62;23
86;61;677;61;26
87;61;680;58;26
88;61;685;57;26
89;61;683;58;27
90;61;688;57;28
91;61;691;54;31
92;62;682;51;32
93;63;672;50;33
94;63;665;50;34
95;63;657;48;38
96;64;652;46;40
97;64;648;44;42
98;65;635;43;44
99;66;624;41;46
100;68;613;37;48
101;68;598;36;51
102;68;580;34;52
103;68;557;33;53
104;68;545;31;56
105;68;528;26;61
106;68;506;24;62
107;68;479;21;67
108;69;460;21;69
109;70;434;19;73
110;72;398;18;76
111;72;372;16;77
112;74;346;15;80
113;74;320;14;81
114;75;295;13;82
115;75;268;11;82
116;75;246;11;85
117;75;227;10;88
118;76;205;10;88
119;76;189;10;89
120;76;175;9;90
121;76;164;8;91
122;77;151;5;91
123;79;138;3;97
124;80;123;3;98
125;81;112;3;98
126;82;106;3;98
127;82;95;3;99
128;82;83;2;99
129;82;76;2;99
130;82;67;2;99
131;82;58;1;101
132;82;55;1;101
133;82;52;1;101
134;82;47;1;101
135;82;43;1;103
136;83;38;1;103
137;84;35;1;104
138;85;31;0;105
139;85;28;0;105
140;86;25;0;105
141;87;21;0;105
142;87;18;0;105
143;87;18;0;105
144;87;18;0;105
145;87;16;0;105
146;88;16;0;105
147;89;15;0;105
148;89;12;0;105
149;89;11;0;105
150;90;11;0;105
151;92;11;0;105
152;94;11;0;105
153;94;10;0;106
154;94;9;0;106
155;94;9;0;106
156;94;7;0;107
157;94;6;0;107
158;95;5;0;107
159;95;2;0;107
160;95;2;0;107
161;95;2;0;107
162;95;1;0;107
163;95;1;0;107
164;96;1;0;107
165;96;0;0;107
166;97;0;0;107
167;97;0;0;107
168;97;0;0;107
169;97;0;0;107
170;98;0;0;107
171;101;0;0;107
172;102;0;0;107
173;102;0;0;107
174;102;0;0;107
175;103;0;0;107
176;106;0;0;107
177;106;0;0;107
178;106;0;0;107
179;106;0;0;107
180;106;0;0;107
181;106;0;0;107
182;106;0;0;107
183;107;0;0;107
184;107;0;0;107
185;107;0;0;107
186;109;0;0;107
187;111;0;0;107
188;111;0;0;107
189;112;0;0;107
190;113;0;0;107
191;114;0;0;107
192;116;0;0;107
193;117;0;0;107
194;118;0;0;107
195;119;0;0;107
196;119;0;0;107
197;119;0;0;107
198;119;0;0;107
199;120;0;0;107
200;120;0;0;107
201;120;0;0;107
202;120;0;0;107
203;120;0;0;107
204;120;0;0;107
205;120;0;0;107
206;120;0;0;107
207;120;0;0;107
208;120;0;0;107
209;120;0;0;107
210;120;0;0;107
211;120;0;0;107
212;120;0;0;107
213;120;0;0;107
214;120;0;0;107
215;120;0;0;107
216;120;0;0;107
217;120;0;0;107
218;120;0;0;107
219;120;0;0;107
220;120;0;0;107
221;120;0;0;107
222;120;0;0;107
223;120;0;0;107
224;120;0;0;107
225;120;0;0;107
226;120;0;0;107
227;120;0;0;107
228;120;0;0;107
229;120;0;0;107
230;120;0;0;107
231;120;0;0;107
232;120;0;0;107
233;120;0;0;107
234;120;0;0;107
235;120;0;0;106
236;120;0;0;106
237;120;0;0;106
238;120;0;0;106
239;120;0;0;105
240;120;0;0;105
241;120;0;0;104
242;120;0;0;103
243;120;0;0;103
244;120;0;0;102
245;120;0;0;102
246;120;0;0;100
247;120;0;0;100
248;120;0;0;99
249;120;0;0;98
250;120;0;0;95
251;120;0;0;94
252;120;0;0;94
253;120;0;0;93
254;120;0;0;91
255;120;0;0;90
256;120;0;0;90
257;120;0;0;85
258;120;0;0;84
259;120;0;0;84
260;120;0;0;84
261;120;0;0;83
262;120;0;0;83
263;120;0;0;83
264;120;0;0;83
265;120;0;0;81
266;120;0;0;81
267;120;0;0;81
268;120;0;0;81
269;120;0;0;77
270;120;0;0;77
271;120;0;0;77
272;120;0;0;76
273;120;0;0;76
274;120;0;0;75
275;120;0;0;75
276;120;0;0;75
277;120;0;0;74
278;120;0;0;74
279;120;0;0;74
280;120;0;0;74
281;120;0;0;74
282;120;0;0;74
283;120;0;0;74
284;120;0;0;74
285;120;0;0;74
286;120;0;0;74
287;120;0;0;72
288;120;0;0;72
289;120;0;0;72
290;120;0;0;71
291;120;0;0;71
292;120;0;0;70
293;120;0;0;70
294;120;0;0;70
295;120;0;0;70
296;120;0;0;70
297;120;0;0;70
298;120;0;0;70
299;120;0;0;70
300;120;0;0;69
301;120;0;0;69
302;120;0;0;68
