Timestep;Food;Prey1;Prey2;Predators
0;46;14;10;0
1;46;14;10;0
2;46;14;10;0
3;46;14;10;0
4;46;14;10;0
5;46;14;10;0
6;46;14;10;0
7;46;14;10;0
8;46;14;10;0
9;46;14;10;0
10;46;14;10;0
11;46;14;10;0
12;46;14;10;0
13;46;14;10;0
14;46;14;10;0
15;47;14;10;0
16;47;14;10;0
17;47;14;10;0
18;47;14;10;0
19;47;14;10;0
20;47;14;10;0
21;47;14;10;0
22;47;14;10;0
23;47;14;10;0
24;48;14;10;0
25;48;14;10;0
26;48;14;10;0
27;48;14;10;0
28;48;14;10;0
29;48;14;10;0
30;48;14;10;0
31;48;14;10;0
32;48;14;10;0
33;49;14;10;0
34;49;14;10;0
35;49;14;10;0
36;49;14;10;0
37;50;14;10;0
38;50;14;10;0
39;50;14;10;0
40;51;14;10;0
41;51;14;10;0
42;51;14;10;0
43;51;14;10;0
44;52;14;10;0
45;52;14;10;0
46;53;14;10;0
47;53;14;10;0
48;55;14;10;0
49;55;14;10;0
50;55;14;10;0
51;55;14;10;0
52;56;14;10;0
53;56;14;10;0
54;56;14;10;0
55;56;14;10;0
56;57;14;10;0
57;57;14;11;0
58;57;14;11;0
59;57;14;11;0
60;57;14;11;0
61;57;14;11;0
62;58;14;11;0
63;58;14;11;0
64;58;14;11;0
65;59;14;11;0
66;59;14;11;0
67;59;14;11;0
68;59;14;11;0
69;60;14;11;0
70;60;14;11;0
71;60;14;11;0
72;60;14;11;0
73;60;14;11;0
74;60;14;11;0
75;60;14;11;0
76;61;14;11;0
77;61;14;11;0
78;61;14;11;0
79;62;14;11;0
80;62;14;11;0
81;63;14;11;0
82;64;14;11;0
83;65;14;11;0
84;65;14;11;0
85;66;14;11;0
86;66;14;11;0
87;66;14;11;0
88;66;14;11;0
89;66;14;11;0
90;66;14;11;0
91;66;14;11;0
92;68;14;11;0
93;69;14;11;0
94;69;14;11;0
95;70;14;11;0
96;70;14;11;0
97;70;14;11;0
98;70;14;11;0
99;70;14;11;0
100;70;14;11;0
101;70;14;11;0
102;71;14;11;0
103;71;14;11;0
104;71;14;11;0
105;71;14;11;0
106;71;14;11;0
107;71;14;11;0
108;71;14;11;0
109;72;14;11;0
110;72;14;11;0
111;73;14;11;0
112;74;14;11;0
113;74;14;11;0
114;74;14;11;0
115;74;14;11;0
116;74;14;11;0
117;75;14;11;0
118;75;14;11;0
119;75;14;11;0
120;76;14;11;0
121;76;14;11;0
122;76;14;11;0
123;76;14;11;0
124;77;14;11;0
125;79;14;11;0
126;79;14;11;0
127;79;14;11;0
128;79;14;11;0
129;81;14;11;0
130;81;14;12;0
131;82;14;12;0
132;82;14;12;0
133;84;14;12;0
134;84;14;12;0
135;84;14;12;0
136;84;14;12;0
137;84;14;12;0
138;84;14;12;0
139;84;14;12;0
140;85;14;12;0
141;85;14;12;0
142;85;14;12;0
143;86;14;12;0
144;87;14;12;0
145;87;14;12;0
146;88;14;12;0
147;88;14;12;0
148;88;14;12;0
149;91;14;12;0
150;92;14;12;0
151;92;14;12;0
152;92;14;12;0
153;92;14;12;0
154;93;14;12;0
155;93;14;13;0
156;93;14;13;0
157;93;14;13;0
158;94;14;13;0
159;96;14;13;0
160;96;14;13;0
161;97;14;13;0
162;98;14;13;0
163;98;14;13;0
164;98;14;13;0
165;98;14;13;0
166;98;14;13;0
167;98;14;13;0
168;98;14;13;0
169;98;14;13;0
170;99;14;13;0
171;100;14;13;0
172;101;14;13;0
173;101;14;13;0
174;101;14;14;0
175;102;14;14;0
176;102;14;14;0
177;102;14;15;0
178;103;14;15;0
179;104;14;15;0
180;104;14;15;0
181;104;14;15;0
182;104;14;15;0
183;105;14;15;0
184;107;14;15;0
185;108;14;15;0
186;108;14;15;0
187;108;14;15;0
188;109;14;15;0
189;109;14;15;0
190;110;14;15;0
191;111;14;15;0
192;111;14;16;0
193;112;14;16;0
194;112;14;16;0
195;112;14;16;0
196;112;14;16;0
197;112;14;16;0
198;113;14;16;0
199;116;14;16;0
200;118;14;16;0
