timestep,prey,predators
0,6,2
1,6,2
2,6,2
3,6,2
4,6,2
5,6,2
6,6,2
7,6,2
8,6,2
9,6,2
10,6,2
11,6,2
12,6,2
13,6,2
14,6,2
15,6,2
16,6,2
17,6,2
18,6,2
19,6,2
20,6,2
21,6,2
22,6,2
23,6,2
24,6,2
25,6,2
26,6,2
27,6,2
28,6,2
29,6,2
30,6,2
31,6,2
32,6,2
33,6,2
34,6,2
35,6,2
36,6,2
37,6,2
38,6,2
39,6,2
40,6,2
41,6,2
42,6,2
43,6,2
44,6,2
45,6,2
46,6,2
47,6,2
48,6,2
49,6,2
50,6,2
51,6,2
52,6,2
53,6,2
54,6,2
55,6,2
56,6,2
57,6,2
58,6,2
59,6,2
60,6,2
61,5,2
62,5,2
63,5,2
64,5,2
65,5,2
66,5,2
67,6,2
68,6,2
69,6,2
70,6,2
71,6,2
72,6,2
73,6,2
74,6,2
75,6,2
76,6,2
77,6,2
78,6,2
79,6,2
80,7,2
81,7,2
82,7,2
83,7,2
84,8,2
85,8,2
86,8,2
87,8,2
88,8,2
89,8,2
90,8,2
91,8,2
92,8,2
93,8,2
94,8,2
95,8,2
96,8,2
97,9,2
98,9,2
99,9,2
100,9,1
101,9,1
102,9,1
103,9,1
104,9,1
105,9,1
106,9,1
107,9,1
108,9,1
109,9,1
110,9,1
111,9,1
112,9,1
113,9,1
114,9,1
115,10,1
116,10,1
117,10,1
118,10,1
119,10,1
120,10,1
121,10,1
122,9,1
123,9,1
124,9,1
125,9,1
126,9,1
127,9,1
128,9,1
129,9,1
130,9,1
131,9,1
132,9,1
133,9,1
134,9,1
135,9,1
136,9,1
137,9,1
138,9,1
139,9,1
140,9,1
141,9,1
142,9,1
143,9,1
144,9,1
145,10,1
146,10,1
147,10,1
148,10,1
149,10,1
150,10,1
151,10,1
152,10,1
153,10,1
154,11,1
155,11,1
156,11,1
157,11,1
158,11,1
159,11,1
160,11,1
161,11,1
162,11,1
163,11,1
164,11,1
165,11,1
166,11,1
167,12,1
168,13,1
169,13,1
170,13,1
171,13,1
172,13,1
173,13,1
174,13,1
175,13,1
176,13,1
177,13,1
178,13,1
179,13,1
180,13,1
181,13,1
182,13,1
183,13,1
184,13,1
185,13,1
186,13,1
187,13,1
188,13,1
189,13,1
190,13,1
191,12,1
192,12,1
193,12,1
194,12,1
195,12,1
196,12,1
197,12,1
198,12,1
199,11,1
200,11,1
201,11,1
202,11,1
203,11,1
204,11,1
205,11,1
206,12,1
207,12,1
208,12,1
209,12,1
210,12,1
211,12,1
212,12,1
213,12,1
214,12,1
215,12,1
216,12,1
217,12,1
218,12,1
219,12,1
220,12,1
221,12,1
222,12,1
223,12,1
224,14,1
225,14,1
226,14,1
227,14,1
228,14,1
229,14,1
230,14,1
231,14,1
232,14,1
233,14,1
234,14,1
235,14,1
236,14,1
237,14,1
238,14,1
239,14,1
240,14,1
241,14,1
242,14,1
243,14,1
244,14,1
245,14,1
246,14,1
247,14,1
248,15,1
249,15,1
250,14,1
251,14,1
252,14,1
253,15,1
254,15,1
255,15,1
256,15,1
257,16,1
258,16,1
259,16,1
260,16,1
261,16,1
262,16,1
263,16,1
264,16,1
265,16,1
266,16,1
267,16,1
268,17,1
269,17,1
270,17,1
271,17,1
272,17,1
273,17,1
274,17,1
275,17,1
276,17,1
277,17,1
278,17,1
279,17,1
280,17,1
281,17,1
282,17,1
283,17,1
284,17,1
285,17,1
286,17,1
287,17,1
288,17,1
289,17,1
290,17,1
291,17,1
292,18,1
293,19,1
294,19,1
295,19,1
296,19,1
297,20,1
298,20,1
299,21,1
300,21,1
301,22,1
302,22,1
303,22,1
304,22,1
305,22,1
306,22,1
307,22,1
308,22,1
309,22,1
310,23,1
311,23,1
312,23,1
313,23,1
314,23,1
315,24,1
316,25,1
317,25,1
318,25,1
319,26,1
320,26,1
321,26,1
322,26,1
323,25,1
324,25,1
325,25,1
326,26,1
327,26,1
328,26,1
329,26,1
330,26,1
331,27,1
332,28,1
333,28,1
334,28,1
335,29,1
336,29,1
337,29,1
338,29,1
339,29,1
340,29,1
341,29,1
342,29,1
343,28,1
344,29,1
345,29,1
346,29,1
347,29,1
348,29,1
349,30,1
350,30,1
351,30,1
352,30,1
353,30,1
354,30,1
355,30,1
356,30,1
357,31,1
358,34,1
359,34,1
360,34,1
361,34,1
362,35,1
363,36,1
364,36,1
365,36,1
366,37,1
367,38,1
368,39,1
369,39,1
370,39,1
371,39,1
372,39,1
373,39,1
374,40,1
375,41,1
376,41,1
377,41,1
378,42,1
379,42,1
380,42,1
381,42,1
382,43,1
383,44,1
384,44,1
385,44,1
386,44,1
387,44,1
388,44,1
389,45,1
390,45,1
391,45,1
392,45,1
393,48,1
394,48,1
395,49,1
396,50,1
397,50,1
398,50,1
399,50,1
400,50,1
401,50,1
402,51,1
403,52,1
404,52,1
405,53,1
406,55,1
407,56,1
408,56,1
409,55,2
410,55,2
411,55,2
412,57,2
413,58,2
414,59,2
415,60,2
416,60,2
417,60,2
418,61,2
419,62,2
420,62,2
421,64,2
422,63,2
423,64,2
424,66,2
425,66,2
426,66,2
427,66,2
428,66,2
429,68,2
430,70,2
431,72,2
432,72,2
433,72,2
434,71,2
435,70,2
436,70,2
437,75,2
438,75,3
439,77,3
440,77,3
441,76,3
442,76,3
443,77,3
444,78,3
445,79,3
446,79,3
447,81,3
448,82,3
449,84,3
450,84,4
451,87,4
452,88,4
453,90,4
454,90,5
455,91,5
456,92,5
457,93,5
458,95,5
459,95,5
460,98,5
461,99,5
462,98,5
463,99,5
464,97,5
465,98,5
466,102,5
467,104,5
468,105,5
469,104,5
470,106,5
471,109,6
472,110,6
473,111,6
474,112,6
475,114,6
476,118,6
477,120,6
478,125,6
479,127,7
480,136,7
481,141,7
482,138,8
483,137,8
484,140,9
485,140,9
486,139,9
487,139,9
488,148,9
489,151,9
490,159,9
491,160,9
492,158,9
493,154,11
494,152,13
495,145,15
496,146,15
497,142,16
498,139,16
499,133,16
500,133,16
501,131,17
502,130,17
503,131,17
504,127,17
505,121,17
506,119,17
507,118,18
508,115,18
509,114,18
510,112,19
511,109,19
512,108,19
513,104,21
514,103,22
515,99,23
516,95,24
517,92,25
518,88,27
519,81,27
520,75,27
521,69,28
522,64,30
523,58,30
524,54,30
525,48,31
526,44,31
527,41,32
528,37,32
529,33,35
530,31,35
531,26,35
532,22,36
533,18,37
534,15,39
535,14,39
536,11,39
537,9,39
538,8,40
539,6,40
540,3,41
541,3,41
542,3,41
543,3,41
544,2,41
545,1,41
546,1,41
547,1,41
548,1,41
549,1,41
550,1,41
551,1,41
552,0,41
553,0,41
554,0,41
555,0,41
556,0,41
557,0,41
558,0,41
559,0,41
560,0,41
561,0,41
562,0,41
563,0,41
564,0,41
565,0,41
566,0,41
567,0,41
568,0,41
569,0,41
570,0,41
571,0,41
572,0,41
573,0,41
574,0,41
575,0,41
576,0,41
577,0,41
578,0,41
579,0,41
580,0,41
581,0,41
582,0,41
583,0,41
584,0,41
585,0,41
586,0,41
587,0,41
588,0,41
589,0,41
590,0,41
591,0,41
592,0,41
593,0,41
594,0,41
595,0,41
596,0,41
597,0,41
598,0,41
599,0,41
600,0,41
601,0,41
602,0,41
603,0,41
604,0,41
605,0,41
606,0,41
607,0,41
608,0,41
609,0,41
610,0,41
611,0,41
612,0,41
613,0,40
614,0,40
615,0,40
616,0,40
617,0,40
618,0,40
619,0,40
620,0,40
621,0,40
622,0,40
623,0,40
624,0,40
625,0,39
626,0,39
627,0,39
628,0,39
629,0,37
630,0,37
631,0,37
632,0,37
633,0,36
634,0,34
635,0,34
636,0,34
637,0,34
638,0,33
639,0,33
640,0,32
641,0,32
642,0,32
643,0,32
644,0,32
645,0,32
646,0,32
647,0,32
648,0,32
649,0,32
650,0,32
651,0,32
652,0,32
653,0,32
654,0,32
655,0,32
656,0,32
