Timestep;Food;Prey;Prey2;Predators
0;12;6;4;2
1;12;6;4;2
2;12;6;4;2
3;12;7;5;2
4;12;8;5;2
5;12;9;6;2
6;12;7;6;2
7;12;7;6;2
8;12;7;6;2
9;12;7;6;2
10;12;7;6;2
11;12;7;6;2
12;12;7;6;2
13;12;8;6;2
14;12;8;6;2
15;12;8;6;2
16;12;9;6;2
17;12;9;6;2
18;12;9;6;2
19;12;9;5;2
20;12;10;5;2
21;12;10;5;2
22;13;10;5;2
23;13;10;5;2
24;13;10;5;2
25;13;10;5;2
26;14;10;5;2
27;14;10;5;2
28;14;10;5;2
29;14;10;6;2
30;14;11;6;2
31;14;10;6;2
32;14;10;6;2
33;14;10;7;2
34;14;11;7;2
35;14;11;7;2
36;14;11;7;2
37;14;12;7;2
38;14;15;7;2
39;14;15;7;2
40;14;15;7;2
41;14;16;7;2
42;14;16;7;2
43;14;16;7;2
44;14;16;7;2
45;14;16;8;2
46;14;16;8;2
47;14;16;7;2
48;14;16;7;2
49;14;16;7;2
50;14;16;8;2
51;14;16;8;2
52;15;16;9;2
53;15;16;10;2
54;15;16;11;2
55;15;18;11;2
56;15;19;12;2
57;15;21;12;2
58;16;21;14;2
59;16;22;14;2
60;16;22;14;2
61;16;22;16;2
62;16;22;16;2
63;16;22;15;2
64;16;22;15;2
65;16;24;15;2
66;16;25;15;2
67;16;27;15;2
68;16;28;16;2
69;16;29;16;2
70;16;29;16;2
71;16;29;15;2
72;16;29;16;2
73;16;29;17;2
74;16;29;17;2
75;16;30;16;2
76;16;31;16;2
77;16;31;16;2
78;16;31;16;2
79;16;31;16;2
80;16;31;16;2
81;16;32;16;2
82;16;35;18;2
83;16;36;18;2
84;16;36;18;2
85;16;39;18;2
86;16;41;18;2
87;16;41;19;2
88;16;41;19;2
89;16;42;19;2
90;16;44;19;2
91;16;43;19;2
92;16;42;20;4
93;16;45;19;4
94;16;47;21;4
95;16;48;22;4
96;16;48;22;4
97;16;49;21;4
98;16;50;22;4
99;16;51;21;4
100;16;51;21;4
101;16;52;19;5
102;16;52;19;5
103;16;51;19;5
104;16;51;21;5
105;16;50;19;5
106;16;49;20;5
107;16;48;21;5
108;16;48;21;5
109;16;48;21;5
110;16;49;21;5
111;16;51;21;5
112;16;49;22;6
113;16;48;23;6
114;16;50;23;6
115;16;50;23;6
116;16;50;23;6
117;16;51;24;6
118;16;50;24;6
119;16;50;24;6
120;16;50;24;6
121;17;51;25;6
122;17;50;24;6
123;17;51;23;6
124;17;48;24;6
125;17;48;24;7
126;17;47;25;8
127;17;47;25;8
128;17;49;26;8
129;17;50;26;8
130;17;52;26;8
131;17;51;28;8
132;17;52;28;8
133;17;52;28;8
134;17;51;26;8
135;17;53;26;8
136;17;53;25;8
137;17;53;25;8
138;17;52;25;9
139;17;52;25;9
140;17;53;24;9
141;17;53;23;9
142;17;54;25;9
143;17;52;27;9
144;18;54;27;9
145;18;55;26;9
146;18;54;25;9
147;18;55;25;9
148;18;55;25;9
149;18;55;25;9
150;18;55;25;9
151;18;55;25;9
152;18;54;25;9
153;18;54;25;9
154;18;57;26;9
155;18;58;26;9
156;18;59;25;10
157;18;60;24;10
158;18;63;22;12
159;18;60;21;13
160;18;57;20;13
161;18;55;20;13
162;18;54;20;13
163;18;53;20;13
164;18;53;20;13
165;18;53;20;13
166;18;53;19;13
167;18;54;19;13
168;18;51;19;15
169;18;50;15;15
170;18;52;15;15
171;19;52;15;15
172;19;54;15;16
173;20;51;15;16
174;20;51;15;16
175;20;51;15;16
176;20;52;14;16
177;20;53;14;16
178;20;55;14;16
179;20;56;14;16
180;21;58;15;16
181;21;55;15;17
182;21;56;15;17
183;21;53;15;17
184;21;53;15;17
185;21;55;15;17
186;21;55;17;17
187;21;56;18;17
188;21;53;16;18
189;21;50;17;19
190;21;51;18;19
191;21;49;18;19
192;21;47;18;19
193;21;47;16;20
194;21;46;16;21
195;21;44;16;22
196;21;43;16;22
197;21;45;16;22
198;21;43;16;22
199;21;40;16;23
200;21;37;16;23
201;21;35;15;24
202;21;35;16;25
203;21;36;16;25
204;21;37;14;25
205;21;34;13;26
206;21;30;14;26
207;21;31;13;26
208;21;29;13;26
209;21;30;13;26
210;21;29;13;26
211;21;27;13;27
212;21;26;11;27
213;21;25;11;28
214;21;25;11;28
215;21;24;11;28
216;21;23;10;28
217;21;23;10;28
218;21;21;10;28
219;21;22;10;28
220;21;22;9;29
221;21;21;8;29
222;21;20;8;29
223;21;19;8;29
224;21;18;8;29
225;21;18;8;29
226;21;18;8;29
227;21;17;8;29
228;21;17;9;29
229;21;17;10;29
230;22;17;8;30
231;22;17;8;30
232;22;17;8;30
233;22;16;7;30
234;22;16;6;30
235;22;16;6;30
236;22;16;5;30
237;22;15;4;30
238;22;13;4;31
239;22;12;3;32
240;22;12;2;32
241;22;11;2;32
242;22;10;2;32
243;22;8;3;32
244;22;8;2;32
245;22;8;2;32
246;22;8;2;32
247;22;7;2;32
248;22;7;1;32
249;22;7;1;32
250;22;7;0;32
251;22;7;0;32
252;22;7;0;32
253;22;8;0;32
254;22;7;0;32
255;22;7;0;32
256;22;7;0;32
257;22;7;0;32
258;22;7;0;32
259;22;7;0;32
260;22;7;0;32
261;22;7;0;32
262;22;7;0;32
263;22;7;0;32
264;22;7;0;32
265;22;7;0;32
266;22;6;0;32
267;22;5;0;32
268;22;5;0;32
269;22;5;0;32
270;22;5;0;32
271;22;5;0;32
272;22;5;0;32
273;22;5;0;32
274;22;4;0;32
275;22;3;0;32
276;22;3;0;32
277;22;3;0;32
278;22;3;0;32
279;23;3;0;32
280;23;3;0;32
281;23;3;0;32
282;23;2;0;32
283;23;2;0;32
284;23;2;0;32
285;23;1;0;32
286;23;1;0;32
287;23;0;0;32
288;23;0;0;32
289;23;0;0;32
290;23;0;0;32
291;23;0;0;32
292;23;0;0;32
293;23;0;0;31
294;23;0;0;31
295;23;0;0;31
296;23;0;0;31
297;23;0;0;31
298;23;0;0;31
299;23;0;0;31
300;24;0;0;31
301;24;0;0;31
302;24;0;0;31
303;24;0;0;31
304;24;0;0;31
305;25;0;0;31
306;25;0;0;31
307;25;0;0;31
308;25;0;0;31
309;25;0;0;31
310;25;0;0;31
311;25;0;0;31
312;25;0;0;31
313;25;0;0;30
314;25;0;0;30
315;25;0;0;30
316;25;0;0;30
317;25;0;0;30
318;25;0;0;30
319;25;0;0;29
320;25;0;0;28
321;25;0;0;28
322;25;0;0;28
323;25;0;0;28
324;26;0;0;28
325;26;0;0;28
326;26;0;0;28
327;26;0;0;28
328;26;0;0;27
329;26;0;0;27
330;26;0;0;26
331;26;0;0;26
332;26;0;0;26
333;26;0;0;26
334;26;0;0;26
335;26;0;0;26
336;26;0;0;26
337;26;0;0;26
338;26;0;0;25
339;26;0;0;25
340;26;0;0;25
341;26;0;0;25
342;26;0;0;25
343;26;0;0;25
344;26;0;0;25
345;26;0;0;25
346;26;0;0;25
347;26;0;0;25
348;26;0;0;24
349;26;0;0;24
350;26;0;0;24
351;26;0;0;24
352;26;0;0;24
353;26;0;0;24
354;26;0;0;23
355;26;0;0;22
356;26;0;0;22
357;26;0;0;22
358;26;0;0;22
359;26;0;0;22
360;26;0;0;22
361;26;0;0;21
362;26;0;0;21
363;26;0;0;21
364;26;0;0;21
365;26;0;0;20
366;26;0;0;20
367;26;0;0;20
368;26;0;0;20
369;26;0;0;20
370;26;0;0;20
371;26;0;0;20
372;26;0;0;20
373;26;0;0;20
374;26;0;0;20
375;26;0;0;20
376;26;0;0;20
377;26;0;0;20
378;26;0;0;20
379;26;0;0;20
380;26;0;0;20
381;26;0;0;20
382;26;0;0;20
383;26;0;0;20
384;26;0;0;20
385;26;0;0;20
386;26;0;0;20
387;26;0;0;20
388;26;0;0;20
389;26;0;0;20
390;26;0;0;20
391;26;0;0;20
392;26;0;0;19
393;26;0;0;19
394;26;0;0;19
395;26;0;0;19
396;26;0;0;19
397;26;0;0;19
398;26;0;0;19
399;26;0;0;19
400;26;0;0;19
401;26;0;0;19
402;26;0;0;19
403;26;0;0;19
404;26;0;0;19
405;26;0;0;19
406;26;0;0;19
407;26;0;0;19
408;27;0;0;19
409;27;0;0;19
410;27;0;0;19
411;27;0;0;19
412;27;0;0;19
413;27;0;0;19
414;27;0;0;19
415;27;0;0;19
416;27;0;0;19
417;27;0;0;19
418;27;0;0;19
419;27;0;0;19
420;27;0;0;19
421;27;0;0;19
422;27;0;0;19
423;27;0;0;19
424;27;0;0;19
425;27;0;0;19
426;27;0;0;19
427;27;0;0;19
428;27;0;0;19
429;27;0;0;19
430;27;0;0;19
431;27;0;0;18
432;27;0;0;18
433;27;0;0;18
434;27;0;0;18
435;27;0;0;18
436;27;0;0;18
437;27;0;0;18
438;27;0;0;18
439;27;0;0;18
440;27;0;0;18
441;27;0;0;18
442;27;0;0;18
443;27;0;0;18
444;28;0;0;18
445;28;0;0;18
446;28;0;0;18
447;28;0;0;18
448;28;0;0;18
449;28;0;0;18
450;28;0;0;18
451;28;0;0;18
452;28;0;0;18
